Date,Closing price
12/31/2021,4.226061915
12/30/2021,4.967602592
12/29/2021,4.980201584
12/28/2021,4.881209503
12/27/2021,5.064794816
12/24/2021,5.111591073
12/23/2021,5.138588913
12/22/2021,5.289776818
12/21/2021,5.291576674
12/20/2021,5.255579554
12/17/2021,5.255579554
12/16/2021,5.323974082
12/15/2021,5.100791937
12/14/2021,5.059395248
12/13/2021,4.913606911
12/10/2021,4.856011519
12/9/2021,4.856011519
12/8/2021,4.843412527
12/7/2021,4.647228222
12/6/2021,4.398848092
12/3/2021,4.373650108
12/2/2021,4.472642189
12/1/2021,4.4312455
11/30/2021,3.999280058
11/29/2021,4.571634269
11/26/2021,5.183585313
11/25/2021,5.327573794
11/24/2021,5.385169186
11/23/2021,5.399568035
11/22/2021,5.273578114
11/19/2021,5.228581713
11/18/2021,5.210583153
11/17/2021,5.145788337
11/16/2021,5.093592513
11/15/2021,4.99100072
11/12/2021,5.003599712
11/11/2021,5.111591073
11/10/2021,5.115190785
11/9/2021,5.471562275
11/8/2021,5.669546436
11/5/2021,5.336573074
11/4/2021,5.327573794
11/3/2021,5.381569474
11/2/2021,5.030597552
11/1/2021,4.895608351
10/29/2021,5.147588193
10/28/2021,8.387329014
10/27/2021,8.381929446
10/26/2021,8.423326134
10/25/2021,8.536717063
10/22/2021,8.324334053
10/21/2021,8.225341973
10/20/2021,8.372930166
10/19/2021,8.441324694
10/18/2021,8.590712743
10/15/2021,8.641108711
10/14/2021,8.770698344
10/13/2021,8.8174946
10/12/2021,8.752699784
10/11/2021,8.693304536
10/8/2021,8.279337653
10/7/2021,8.374730022
10/6/2021,8.534917207
10/5/2021,9.881209503
10/4/2021,8.918286537
10/1/2021,8.38912887
9/30/2021,7.870770338
9/29/2021,7.505399568
9/28/2021,7.282217423
9/27/2021,7.262419006
9/24/2021,6.758459323
9/23/2021,6.222102232
9/22/2021,6.19150468
9/21/2021,6.169906407
9/20/2021,6.157307415
9/17/2021,6.069114471
9/16/2021,6.007919366
9/15/2021,6.101511879
9/14/2021,6.155507559
9/13/2021,6.180705544
9/10/2021,6.150107991
9/9/2021,6.108711303
9/8/2021,6.083513319
9/7/2021,6.054715623
9/6/2021,6.047516199
9/3/2021,5.944924406
9/2/2021,5.838732901
9/1/2021,5.624550036
8/31/2021,5.534557235
8/27/2021,5.361771058
8/26/2021,5.363570914
8/25/2021,5.359971202
8/24/2021,5.345572354
8/23/2021,5.340172786
8/20/2021,5.201583873
8/19/2021,5.251979842
8/18/2021,5.397768179
8/17/2021,5.395968323
8/16/2021,5.466162707
8/13/2021,5.388768898
8/12/2021,5.399568035
8/11/2021,5.313174946
8/10/2021,5.255579554
8/9/2021,5.246580274
8/6/2021,5.179985601
8/5/2021,5.116990641
8/4/2021,5.079193665
8/3/2021,5.041396688
8/2/2021,5.028797696
7/30/2021,4.98200144
7/29/2021,4.784017279
7/28/2021,4.784017279
7/27/2021,4.773218143
7/26/2021,4.755219582
7/23/2021,4.762419006
7/22/2021,4.748020158
7/21/2021,4.773218143
7/20/2021,4.755219582
7/19/2021,4.791216703
7/16/2021,4.773218143
7/15/2021,4.75161987
7/14/2021,4.74262059
7/13/2021,4.719222462
7/12/2021,4.559035277
7/9/2021,4.564434845
7/8/2021,4.517638589
7/7/2021,4.487041037
7/6/2021,4.456443485
7/5/2021,4.580633549
7/2/2021,4.44924406
7/1/2021,4.400647948
6/30/2021,4.346652268
6/29/2021,4.141468683
6/28/2021,4.073074154
6/25/2021,4.157667387
6/24/2021,3.896688265
6/23/2021,3.887688985
6/22/2021,3.860691145
6/21/2021,3.851691865
6/18/2021,3.878689705
6/17/2021,3.880489561
6/16/2021,3.887688985
6/15/2021,3.887688985
6/14/2021,3.923686105
6/11/2021,3.959683225
6/10/2021,3.959683225
6/9/2021,3.896688265
6/8/2021,3.806695464
6/7/2021,3.815694744
6/4/2021,3.644708423
6/3/2021,3.617710583
6/2/2021,3.47012239
6/1/2021,3.448524118
5/28/2021,3.08675306
5/27/2021,3.08675306
5/26/2021,3.083153348
5/25/2021,3.08675306
5/24/2021,3.07775378
5/21/2021,3.066954644
5/20/2021,3.05075594
5/19/2021,3.023758099
5/18/2021,3.045356371
5/17/2021,3.041756659
5/14/2021,3.074154068
5/13/2021,3.084953204
5/12/2021,3.090352772
5/11/2021,3.052555796
5/10/2021,3.016558675
5/7/2021,2.969762419
5/6/2021,2.935565155
5/5/2021,2.881569474
5/4/2021,2.825773938
5/3/2021,2.831173506
4/30/2021,2.787976962
4/29/2021,2.588192945
4/28/2021,2.582793377
4/27/2021,2.586393089
4/26/2021,2.580993521
4/23/2021,2.584593233
4/22/2021,2.584593233
4/21/2021,2.573794096
4/20/2021,2.573794096
4/19/2021,2.573794096
4/16/2021,2.577393808
4/15/2021,2.52699784
4/14/2021,2.489200864
4/13/2021,2.478401728
4/12/2021,2.460403168
4/9/2021,2.431605472
4/8/2021,2.419006479
4/7/2021,2.476601872
4/6/2021,2.530597552
4/5/2021,2.52699784
4/1/2021,2.52699784
3/31/2021,2.521598272
3/30/2021,2.519798416
3/29/2021,2.541396688
3/26/2021,2.552195824
3/25/2021,2.465802736
3/24/2021,2.465802736
3/23/2021,2.465802736
3/22/2021,2.465802736
3/19/2021,2.46400288
3/18/2021,2.451403888
3/17/2021,2.431605472
3/16/2021,2.386609071
3/15/2021,2.388408927
3/12/2021,2.377609791
3/11/2021,2.368610511
3/10/2021,2.368610511
3/9/2021,2.375809935
3/8/2021,2.357811375
3/5/2021,2.348812095
3/4/2021,2.347012239
3/3/2021,2.365010799
3/2/2021,2.381209503
3/1/2021,2.354211663
2/26/2021,2.348812095
2/25/2021,2.368610511
2/24/2021,2.365010799
2/23/2021,2.372210223
2/22/2021,2.374010079
2/19/2021,2.374010079
2/18/2021,2.359611231
2/17/2021,2.352411807
2/16/2021,2.361411087
2/15/2021,2.350611951
2/12/2021,2.411807055
2/11/2021,2.424406048
2/10/2021,2.447804176
2/9/2021,2.469402448
2/8/2021,2.456803456
2/5/2021,2.392008639
2/4/2021,2.339812815
2/3/2021,2.294816415
2/2/2021,2.354211663
2/1/2021,2.361411087
1/29/2021,2.498200144
1/28/2021,2.440604752
1/27/2021,2.43700504
1/26/2021,2.435205184
1/25/2021,2.42800576
1/22/2021,2.429805616
1/21/2021,2.431605472
1/20/2021,2.429805616
1/19/2021,2.429805616
1/18/2021,2.420806335
1/15/2021,2.469402448
1/14/2021,2.516198704
1/13/2021,2.525197984
1/12/2021,2.537796976
1/11/2021,2.465802736
1/8/2021,2.465802736
1/7/2021,2.397408207
1/6/2021,2.312814975
1/5/2021,2.336213103
1/4/2021,2.494600432
1/1/2021,2.483801296
