Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
TX,biomass,1,1,1,0.0
TX,conventional_hydroelectric,1,1,2,0.0
TX,conventional_steam_coal,1,1,3,0.0
TX,conventional_steam_coal_1,1,2,4,0.0
TX,conventional_steam_coal_2,1,3,5,0.0
TX,conventional_steam_coal_3,1,4,6,0.0
TX,natural_gas_fired_combined_cycle,1,1,7,0.0
TX,natural_gas_fired_combined_cycle_1,1,2,8,0.0
TX,natural_gas_fired_combined_cycle_2,1,3,9,0.0
TX,natural_gas_fired_combined_cycle_3,1,4,10,0.0
TX,natural_gas_fired_combined_cycle_4,1,5,11,0.0
TX,natural_gas_fired_combined_cycle_5,1,6,12,0.0
TX,natural_gas_fired_combined_cycle_6,1,7,13,0.0
TX,natural_gas_fired_combined_cycle_7,1,8,14,0.0
TX,natural_gas_fired_combined_cycle_8,1,9,15,0.0
TX,natural_gas_fired_combined_cycle_9,1,10,16,0.0
TX,natural_gas_fired_combined_cycle_10,1,11,17,0.0
TX,natural_gas_fired_combined_cycle_11,1,12,18,0.0
TX,natural_gas_fired_combined_cycle_12,1,13,19,0.0
TX,natural_gas_fired_combined_cycle_13,1,14,20,0.0
TX,natural_gas_fired_combined_cycle_14,1,15,21,0.0
TX,natural_gas_fired_combined_cycle_15,1,16,22,0.0
TX,natural_gas_fired_combined_cycle_16,1,17,23,0.0
TX,natural_gas_fired_combined_cycle_17,1,18,24,0.0
TX,natural_gas_fired_combined_cycle_18,1,19,25,0.0
TX,natural_gas_fired_combined_cycle_19,1,20,26,0.0
TX,natural_gas_fired_combustion_turbine,1,1,27,0.0
TX,natural_gas_fired_combustion_turbine_1,1,2,28,0.0
TX,natural_gas_fired_combustion_turbine_2,1,3,29,0.0
TX,natural_gas_fired_combustion_turbine_3,1,4,30,0.0
TX,natural_gas_fired_combustion_turbine_4,1,5,31,0.0
TX,natural_gas_fired_combustion_turbine_5,1,6,32,0.0
TX,natural_gas_fired_combustion_turbine_6,1,7,33,0.0
TX,natural_gas_fired_combustion_turbine_7,1,8,34,0.0
TX,natural_gas_fired_combustion_turbine_8,1,9,35,0.0
TX,natural_gas_fired_combustion_turbine_9,1,10,36,0.0
TX,natural_gas_fired_combustion_turbine_10,1,11,37,0.0
TX,natural_gas_fired_combustion_turbine_11,1,12,38,0.0
TX,natural_gas_fired_combustion_turbine_12,1,13,39,0.0
TX,natural_gas_fired_combustion_turbine_13,1,14,40,0.0
TX,natural_gas_fired_combustion_turbine_14,1,15,41,0.0
TX,natural_gas_fired_combustion_turbine_15,1,16,42,0.0
TX,natural_gas_fired_combustion_turbine_16,1,17,43,0.0
TX,natural_gas_fired_combustion_turbine_17,1,18,44,0.0
TX,natural_gas_fired_combustion_turbine_18,1,19,45,0.0
TX,natural_gas_fired_combustion_turbine_19,1,20,46,0.0
TX,natural_gas_steam_turbine,1,1,47,0.0
TX,natural_gas_steam_turbine_1,1,2,48,0.0
TX,natural_gas_steam_turbine_2,1,3,49,0.0
TX,natural_gas_steam_turbine_3,1,4,50,0.0
TX,natural_gas_steam_turbine_4,1,5,51,0.0
TX,natural_gas_steam_turbine_5,1,6,52,0.0
TX,natural_gas_steam_turbine_6,1,7,53,0.0
TX,natural_gas_steam_turbine_7,1,8,54,0.0
TX,natural_gas_steam_turbine_8,1,9,55,0.0
TX,natural_gas_steam_turbine_9,1,10,56,0.0
TX,natural_gas_steam_turbine_10,1,11,57,0.0
TX,natural_gas_steam_turbine_11,1,12,58,0.0
TX,natural_gas_steam_turbine_12,1,13,59,0.0
TX,natural_gas_steam_turbine_13,1,14,60,0.0
TX,natural_gas_steam_turbine_14,1,15,61,0.0
TX,natural_gas_steam_turbine_15,1,16,62,0.0
TX,natural_gas_steam_turbine_16,1,17,63,0.0
TX,natural_gas_steam_turbine_17,1,18,64,0.0
TX,natural_gas_steam_turbine_18,1,19,65,0.0
TX,natural_gas_steam_turbine_19,1,20,66,0.0
TX,nuclear,1,1,67,0.0
TX,nuclear_1,1,2,68,0.0
TX,onshore_wind_turbine,1,1,69,0.0
TX,small_hydroelectric,1,1,70,0.0
TX,solar_photovoltaic,1,1,71,0.0
